regulator,target,sign,K,half_response,hill_coefficient,source,mode,pmids
Sp1,Cyp11a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10459866;9013760;20371701
Jun,Cyp11a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17218410
Crebbp,Cyp11a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12101186
Ctnnb1,Cyp19a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19176883
Runx2,Cyp19a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20231365
Ahr,Cyp19a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16260617
Usf1,Cyp1a1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9388470
Ahr,Cyp1a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,1317062;15313166;19474220;11248424;19470599;24639079
Nfe2l2,Cyp2a5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17303623;20402460;20887713;22859313;22497566
Hnf1a,Cyp2a5,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14599559
Ctnnb1,Cyp2b10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15471898
Hnf1a,Cyp2b10,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14599559
Ppara,Cyp7a1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12117567;10777541
Hnf1a,Cyp7a1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14599559
Nr0b2,Cyp7a1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17145766;21963511;22034226;23038264
Srebf1,Cyp8b1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15249218
Hnf1a,Cyp8b1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14599559
Nr0b2,Cyp8b1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22034226
Trp53,D7Ertd443e,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20843368
Smad3,Dapk1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11740493
Smad4,Dapk1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11740493
Nfkb1,Dcst1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20515776
Rela,Dcst1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20515776
Nfkb1,Dcst2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20515776
Rela,Dcst2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20515776
Trp53,Ddit4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702;21896779
Myod1,Des,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8062833
Mef2c,Des,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8062833
Runx2,Dkk1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16813524
Msx2,Dkk1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18487199
Nanog,Dkk1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,25199832
E2f1,Dlx2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22699903
Pitx2,Dlx2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23349981;21504905
Msx2,Dlx2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11763998
Mef2c,Dlx5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17420000
Msx2,Dlx5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15383550
Sp1,Dmd,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15550398;19943855
Sp3,Dmd,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15550398
Nfkb1,Dmp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17546045
Rela,Dmp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17546045;21062982
Sp1,Dnmt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12071960;23457487
Sp3,Dnmt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12071960
E2f1,Dnmt1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12799438;15867357
Ep300,Dnmt1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12071960
Nfkb1,Drd2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17869311
Smad4,Dsg4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18692037
Lef1,Dsg4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19683850
Nfkb1,Dusp1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18508759
Trp53,Dusp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12673251
Trp53,Dusp4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16778175
Trp53,Dyrk1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24341977
Trp53,E2f1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,8557038
Ctnnb1,E2f1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19900401
Sp1,Ecm1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9931498
Trp53,Edil3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24192518
Sp1,Egr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8349585
Stat3,Egr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25012664
E2f1,Egr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24619556
Foxo1,Egr1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22865884
Pparg,Egr1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,12468449
Nfkb1,Egr2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25553923
Trp53,Elf4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20805247
Nfkb1,Epas1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20495570
Rela,Epas1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20495570
Ets1,Erg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,7731694
Ets2,Erg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,7731694
Gata3,Erg,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21536859
Twist1,Esr1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22056872
Tcf3,Esrrb,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18483421
Nanog,Esrrb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23040477
Nfkb1,Fas,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12707336;12813034;15601669;19628709;15619676;16631160;16940415
Trp53,Fas,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12118319;15865927
Rela,Fas,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19628709
Nfe2l2,Fas,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15086909
Srebf1,Fas,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10962028;11855808
Rela,Fasl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15215233
Myc,Fasl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12707336
Esr1,Fasl,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18418063
Srebf1,Fasn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11855808;23137031;9421459;11790787;16891625;17197698;17456898;18281474;22279139
Usf1,Fasn,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9334210
Nfkb1,Fbp1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,19881551
Twist1,Fgf10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22972545
Gata3,Fgf10,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23220102
Pax6,Fgf15,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22792072
Mitf,Fgf15,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22792072
Ets1,Fli1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19829305
Ets2,Fli1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19829305
Sp1,Fmr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25015265
Usf1,Fmr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11058604;18782566
Nrf1,Fmr1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11058604;18782566
Rela,Fn1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,22223884
Smad3,Fn1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12207925
Nfkb1,Fos,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19026727
Trp53,Fos,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,8604347;10214938;9696032
Jun,Fos,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10208434;1482049;2124241;8016110
Stat3,Fos,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,14737107;16293640;8071311
Nfe2l2,Fos,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24521946
Ctnnb1,Foxa2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16040629
Hnf4a,Foxa2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15155787
Trp53,Foxm1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,21518729;25482129
Tcf3,Foxo1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21972416
Trp53,Foxo3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10051583;20564353
Trp53,Foxp3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24006461
Smad3,Foxp3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18157133
Rel,Foxp3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21371435
Irf1,Foxp3,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18641303
Crebbp,Foxp3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,25154413
Foxo1,Fshb,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24065703
Smad4,Fshb,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24739304
Nfkb1,Fth1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19258503
Rela,Fth1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19258503
Crebbp,Fth1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,10066817
Foxa2,G6pc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18847435
Hnf4a,G6pc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18805788;12416993;20421289
Trp53,Gabre,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23474441
Rela,Gabre,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,23474441
Trp53,Gadd45a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10566557;18445702;17599061
Nfkb1,Gadd45b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18576389
Jun,Gast,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16139800
Ctnnb1,Gast,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15292219;16139800
Smad3,Gast,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15292219;16139800
Smad4,Gast,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15292219;16139800
Pitx2,Gata4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21389672
Ahr,Gata4,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22684894
Pou5f1,Gata6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,14990861
Nanog,Gata6,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17615266
Stat1,Gbp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17293456
Irf1,Gbp2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17293456
Foxo1,Gck,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,18805788
Hnf4a,Gck,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18805788
Jun,Gclc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9175757
Nfe2l2,Gclc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18445702
Nfkb1,Gclm,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20159942
Trp53,Gdf15,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12082608;15897808;16154591;18445702
Stat3,Gfi1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,22406269
Stat1,Gfi1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19505891
Jun,Gnrh1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9795199
Fos,Gnrh1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9795199
Sp1,Gpc4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15297147
Sp3,Gpc4,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15297147
Smad3,Gsc,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9702197
Smad4,Gsc,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9702197
Trp53,Gsk3b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,24341977
Ppara,Gsk3b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15716483
Nfe2l2,Gsta1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220
Ahr,Gsta1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,19474220
Nfe2l2,Gsta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15870285
Cebpb,Gsta2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15870285
Sp1,Gstk1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,25024375
Trp53,Gtse1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9724637
Ppara,Gys2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17437057
Pparg,Gys2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17437057
Smad3,H19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20427289
Smad4,H19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,20427289
Esr1,H19,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10442637
Trp53,Hdgf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16987236
Nfkb1,Hes1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20515776
Runx2,Hes1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,20740684
Notch1,Hey1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11741889
Hif1a,Hey1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17045587
Sp1,Hgf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9223667
Trp53,Hgf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9023107
Rela,Hgf,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,24569592
Stat3,Hgf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17967179;16407846
Sp3,Hgf,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,9223667
Smad4,Hhex,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12270938
Smad1,Hhex,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12270938
Stat3,Hif1a,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16007214;17557905;18644974
Sp1,Hinfp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17826007
E2f1,Hinfp,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,17826007
Ep300,Hinfp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17826007
Crebbp,Hinfp,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17826007
Trp53,Hipk2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11740489
Sp1,Hmga2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12799440;11802722
Sp3,Hmga2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12799440;11802722
Hnf4a,Hmga2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23523371
Trp53,Hmox1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,21552291;22670665
Jun,Hmox1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10893216
Ets1,Hmox1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15590657
Nfe2l2,Hmox1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12441344;14752028;19454702;20074672;20402460;22226832;23036869;23045680;23209658;23566812;23933405;24219867;12006176;16181113;17535857;19056485;19227148;19674192;21216973;21367956;22312014;22564506;22670665;23395777;24337631;24474616
Pparg,Hmox1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12006176
Snai1,Hnf4a,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,16826572
Trp53,Hras,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11127813
Sp1,Hrasls5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12054540
Sp3,Hrasls5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,12054540
Rela,Hsd11b2,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15659537
Egr1,Hsd11b2,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,15659537
Trp53,Hspa1b,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17251428
Yy1,Hspa5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15899857;16452489
Gata4,Hspa5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16452489
Sp1,Icam1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11788788
Jun,Icam1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,11788788
Egr1,Icam1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,8666932
Tcf3,Id1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17490644
Snai1,Id1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17490644
Egr1,Id3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,17878368
Smad4,Id3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18477564
Smad1,Id3,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18477564
Trp53,Ifi202b,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,11013253
Smad4,Ifi204,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15557274
Myod1,Ifi204,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,10958697
Gata4,Ifi204,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,16556596
Smad1,Ifi204,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15557274
Sp1,Ifitm5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23530031
Sp3,Ifitm5,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,23530031
Rela,Ifnb1,-,1.0,1.0,2.0,TRRUST_v2_mouse,Repression,9446577
Stat1,Ifnb1,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,18322222
Jun,Ifne,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15217985
Fos,Ifne,+,1.0,1.0,2.0,TRRUST_v2_mouse,Activation,15217985
